   # This file was created in 2015
   # frequency [MHz]   real(s11)   imag(s11)   real(s12s21)   imag(s12s21)   real(s22)   imag(s22)
   6.7000000000000000e+01   2.6503452443579038e-03   1.5034299024479988e-03   9.3967573859457887e-01  -3.2916672441138600e-01   2.2793387738328911e-03   3.7370591554610117e-04
   6.8000000000000000e+01   2.6792977032432217e-03   1.5037356466967812e-03   9.3797398198148996e-01  -3.3383892759544231e-01   2.3022886910642145e-03   3.5431550109941046e-04
   6.9000000000000000e+01   2.7092302743017957e-03   1.5019926974612120e-03   9.3624967315195706e-01  -3.3849801674852859e-01   2.3161151538985693e-03   3.3496610788351757e-04
   7.0000000000000000e+01   2.7390433102423115e-03   1.5011725471450077e-03   9.3450698050159520e-01  -3.4314851510955513e-01   2.3385713470348455e-03   3.1481035200958750e-04
   7.1000000000000000e+01   2.7677196455915976e-03   1.4991967791842262e-03   9.3273886548153928e-01  -3.4778903924231619e-01   2.3598412345867551e-03   2.9693255476956944e-04
   7.2000000000000000e+01   2.7977038309533651e-03   1.4980402362693040e-03   9.3094804153553190e-01  -3.5242336130168306e-01   2.3790021420565222e-03   2.7539953135602055e-04
   7.3000000000000000e+01   2.8269567095402974e-03   1.4960097644027639e-03   9.2913491497383882e-01  -3.5705059437496511e-01   2.4000412773852197e-03   2.5388853302879327e-04
   7.4000000000000000e+01   2.8567279485526911e-03   1.4923767854517584e-03   9.2729824237863256e-01  -3.6166441479404843e-01   2.4184980732918520e-03   2.3506341470786373e-04
   7.5000000000000000e+01   2.8848267369760120e-03   1.4901072773270475e-03   9.2544004402103230e-01  -3.6626580978844608e-01   2.4389734816325304e-03   2.1469102559019590e-04
   7.6000000000000000e+01   2.9141742079634757e-03   1.4864263573859419e-03   9.2355770391404490e-01  -3.7086381436107135e-01   2.4594988055971056e-03   1.9211582356637447e-04
   7.7000000000000000e+01   2.9442991136941856e-03   1.4843238297913373e-03   9.2165255364519671e-01  -3.7544914219236059e-01   2.4783325899836741e-03   1.6832536402350252e-04
   7.8000000000000000e+01   2.9732721919945269e-03   1.4801561867175395e-03   9.1972541503144312e-01  -3.8001934003217508e-01   2.4969508111236808e-03   1.4961512530623812e-04
   7.9000000000000000e+01   3.0021992331513386e-03   1.4756209058975282e-03   9.1777805538090240e-01  -3.8457992702449961e-01   2.5169087043836261e-03   1.2913564435537987e-04
   8.0000000000000000e+01   3.0313520687735209e-03   1.4724857242115340e-03   9.1580556104203437e-01  -3.8913584369307258e-01   2.5342560853619310e-03   1.0404226721432916e-04
   8.1000000000000000e+01   3.0596562434001690e-03   1.4681217007729091e-03   9.1381341730400745e-01  -3.9367738858289053e-01   2.5521022273239454e-03   8.1405910314091140e-05
   8.2000000000000000e+01   3.0881917277175534e-03   1.4623187812422950e-03   9.1179821412065398e-01  -3.9820787737077790e-01   2.5698754305092360e-03   6.1230926814038935e-05
   8.3000000000000000e+01   3.1165672997780975e-03   1.4574008955272936e-03   9.0975794335122517e-01  -4.0273208470559740e-01   2.5860134881409633e-03   3.7477399286629104e-05
   8.4000000000000000e+01   3.1455063240241289e-03   1.4522184557677713e-03   9.0769565548448417e-01  -4.0724863771990116e-01   2.6043064076168377e-03   1.1511234165421068e-05
   8.5000000000000000e+01   3.1740696624656117e-03   1.4462799500825831e-03   9.0561434448234379e-01  -4.1174993657173614e-01   2.6189763116395673e-03  -8.9239387010878711e-06
   8.6000000000000000e+01   3.2026644105242726e-03   1.4395939012926426e-03   9.0351162898053061e-01  -4.1623949770194069e-01   2.6358423497658259e-03  -2.9937260641311764e-05
   8.7000000000000000e+01   3.2314260097137228e-03   1.4354839608380200e-03   9.0138105945540214e-01  -4.2072245871868830e-01   2.6514213243542398e-03  -5.8313621936328334e-05
