# f, real(s11), imag(s11), abs(s21), real(s22), imag(s22)
5.071411133000000149e+01 3.334814901754735300e-03 1.028287473995334426e-03 9.980905680713961781e-01 1.007005104553358428e-03 1.248332086844470201e-03
5.072021483999999703e+01 3.335036249591553145e-03 1.028246985174583209e-03 9.980903997216835632e-01 1.007181035875849605e-03 1.248330252044538204e-03
5.072631836000000050e+01 3.335257607070547803e-03 1.028206422044554078e-03 9.980902323509137641e-01 1.007356970932657891e-03 1.248328447977507024e-03
5.073242187999999686e+01 3.335478973777645986e-03 1.028165784730768152e-03 9.980900659625232541e-01 1.007532909421732801e-03 1.248326674579775626e-03
5.073852538999999950e+01 3.335700349298765296e-03 1.028125073359199317e-03 9.980899005595873508e-01 1.007708851041006284e-03 1.248324931787605716e-03
5.074462891000000297e+01 3.335921734307992822e-03 1.028084287855623958e-03 9.980897361440356219e-01 1.007884796353201605e-03 1.248323219528786176e-03
5.075073241999999851e+01 3.336143128028621740e-03 1.028043428412833606e-03 9.980895727185384869e-01 1.008060744767983038e-03 1.248321537742494566e-03
5.075683594000000198e+01 3.336364531134896130e-03 1.028002494956051270e-03 9.980894102843633764e-01 1.008236696848099218e-03 1.248319886356851968e-03
5.076293944999999752e+01 3.336585942850157308e-03 1.027961487678488717e-03 9.980892488435249010e-01 1.008412652003195555e-03 1.248318265310969805e-03
5.076904297000000099e+01 3.336807363848808515e-03 1.027920406504817747e-03 9.980890883966575533e-01 1.008588610796048004e-03 1.248316674533300925e-03
5.077514647999999653e+01 3.337028793354232265e-03 1.027879251628666894e-03 9.980889289451385649e-01 1.008764572636282894e-03 1.248315113962891049e-03
5.078125000000000000e+01 3.337250232040995298e-03 1.027838022974159136e-03 9.980887704889922496e-01 1.008940538086702636e-03 1.248313583528524572e-03
5.078735352000000347e+01 3.337471679495346982e-03 1.027796720667609447e-03 9.980886130287244251e-01 1.009116506845224867e-03 1.248312083166748347e-03
5.079345702999999901e+01 3.337693135303535386e-03 1.027755344835782746e-03 9.980884565645445905e-01 1.009292478609748146e-03 1.248310612813976518e-03
5.079956055000000248e+01 3.337914600140363171e-03 1.027713895401978451e-03 9.980883010955979850e-01 1.009468453943114128e-03 1.248309172399490914e-03
5.080566405999999802e+01 3.338136073229323441e-03 1.027672372560865712e-03 9.980881466217715881e-01 1.009644432254903391e-03 1.248307761862173324e-03
5.081176758000000149e+01 3.338357555245378451e-03 1.027630776235197293e-03 9.980879931416664075e-01 1.009820414107983613e-03 1.248306381131632139e-03
5.081787108999999703e+01 3.338579045412064239e-03 1.027589106620056076e-03 9.980878406546072057e-01 1.009996398911919540e-03 1.248305030146688215e-03
